State,Initial,Population,Index,Violent,Property,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto,Inmates,New Index *,Index/ Inmates,Region,Row,Column
Ohio,OH,"10,766,808",5431.4,498.3,4933.1,8.1,34.3,223.7,232.2,1466.3,3040.1,426.7,124.9,991.6,7.9,Midwest,3,7
Oklahoma,OK,"3,001,252",5052.9,419.5,4633.4,10,36.3,104.9,268.4,1692.7,2520.6,420.2,157.8,882.8,5.6,South,6,4
Oregon,OR,"2,610,477",6686.9,490.4,6196.5,5.1,41.5,152.4,291.4,1748.4,4087.8,360.3,120.1,1110.1,9.2,West,3,1
Pennsylvania,PA,"11,824,220",3736.3,363.9,3372.4,6.8,23,177.9,156.1,1038.5,1915.5,418.3,68.3,701.1,10.3,Northeast,3,8
Rhode Island,RI,"945,835",5932.6,408.5,5524.1,4.4,17.1,118.6,268.3,1716.3,2964.3,843.6,63.3,960.9,15.2,Northeast,2,10
South Carolina,SC,"3,064,557",5439.2,660,4779.2,11.4,37.5,118.1,493,1670,2803.2,306,237.1,1137.9,4.8,South,5,8
South Dakota,SD,"688,217",3243.2,126.8,3116.3,0.7,12.5,20.1,93.6,692.5,2255.2,168.6,88.2,438.4,5,Midwest,3,4
Tennessee,TN,"4,545,590",4497.9,458.1,4039.8,10.8,37.4,180.6,229.4,1501.5,2175.2,363.1,152.6,862.1,5.6,South,5,6
Texas,TX,"14,169,829",6143,550.3,5592.7,16.9,47.3,208.5,277.6,1853.2,3181.4,558.1,208.5,1109.6,5.3,South,7,4
Utah,UT,"1,458,729",5880.6,303.3,5577.3,3.8,27.7,80.2,191.7,1321.9,3931.8,323.6,63,861,13.7,West,4,2
Vermont,VT,"511,299",4988.5,178.8,4809.7,2.2,29.1,38.9,108.5,1526.7,2988.1,294.9,66.7,659.8,9.9,Northeast,1,10
Virginia,VA,"5,323,412",4620,307.2,4312.8,8.6,27.4,120.1,151.1,1202.6,2882.3,227.9,159.9,738.5,4.6,South,4,8
Washington,WA,"4,113,331",6915,464.3,6450.7,5.5,52.7,135.1,271,1862.2,4192.9,395.6,105.9,1109.4,10.5,West,2,1
West Virginia,WV,"1,930,787",2551.6,183.7,2367.9,7.1,15.8,48.5,112.2,738.5,1429.8,199.7,64.4,420.5,6.5,South,4,7
Wisconsin,WI,"4,680,917",4798.6,182.6,4616,2.9,14.9,70.7,94.1,1079.4,3291.4,245.2,84.4,644.2,7.6,Midwest,2,7
Wyoming,WY,"468,954",4986.4,392.6,4593.8,6.2,28.6,44.4,313.5,903.7,3344.9,345.2,112.6,852,7.6,West,3,3
