State,Initial,Population,Index,Violent,Property,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto,Inmates,New Index *,Index/ Inmates,Region,Row,Column
North Dakota,ND,"636,000",2903.3,83.3,2820,1.9,23.3,7.9,50.3,391,2279.6,149.4,67.1,365.3,5.4,Midwest,2,4
Ohio,OH,"11,016,000",4665.5,525.9,4139.6,6.6,52.1,199,268.2,947.3,2721.3,471,348,939.9,2.7,Midwest,3,7
Oklahoma,OK,"3,212,000",5431.6,622.8,4808.8,6.5,48.4,136.2,431.6,1359.8,2932.1,516.8,460.2,1103.7,2.4,South,6,4
Oregon,OR,"2,977,000",5820.9,510.2,5310.7,4.7,53.1,151.4,301.1,1106.7,3670.6,533.5,175,1041.3,5.9,West,3,1
Pennsylvania,PA,"12,009,000",3392.7,427,2965.7,6.2,27.7,180.7,212.4,631.5,1866.5,467.7,207.2,723.6,3.5,Northeast,3,8
Rhode Island,RI,"1,005,000",4578,394.5,4183.5,3.6,30.9,94.5,265.5,1047.7,2393.2,742.6,168.9,812.9,4.8,Northeast,2,10
South Carolina,SC,"3,603,000",5893.1,944.5,4948.6,10.4,57.5,170.6,706,1378.5,3224.7,345.4,486.5,1439.4,3,South,5,8
South Dakota,SD,"711,000",2998.9,194.5,2804.4,0.6,51.8,16.9,125.3,541.4,2161.9,101.1,208.6,474.9,2.3,Midwest,3,4
Tennessee,TN,"5,024,000",5135.8,746.2,4389.6,10.4,47.3,218.2,470.3,1267.2,2546.5,575.9,234.7,1185.2,2.9,South,5,6
Texas,TX,"17,656,000",7057.9,806.3,6251.6,12.7,53.4,252.5,487.7,1523.2,3906.8,821.7,340.5,1431.5,1.3,South,7,4
Utah,UT,"1,813,000",5658.5,290.5,5368,3,45.4,55.9,186.2,885,4245.1,237.9,146.3,827.3,2.7,West,4,2
Vermont,VT,"570,000",3410,109.5,3300.5,2.1,24.9,8.9,73.5,825.6,2369.6,105.3,151,439.6,1.9,Northeast,1,10
Virginia,VA,"6,377,000",4298.5,374.9,3923.6,8.8,31.5,137.8,196.8,709.1,2909,305.6,327.2,767.3,1.3,South,4,8
Washington,WA,"5,136,000",6172.8,534.5,5638.3,5,72,139.8,317.8,1121.7,4045.1,471.5,193,1098.3,3.4,West,2,1
West Virginia,WV,"1,812,000",2609.7,211.5,2398.2,6.3,21.7,43.5,140,622.9,1611.5,163.8,92.7,451.3,2.6,South,4,7
Wisconsin,WI,"5,007,000",4319,275.7,4043.3,4.4,26.3,119.8,125.3,691.9,2919.9,431.5,159,680,1.4,Midwest,2,7
Wyoming,WY,"466,000",4575.1,319.5,4255.6,3.6,35,18,262.9,671,3434.1,150.4,228,745.1,1.7,West,3,3
